운행기록데이터 바디 항목,일일주행거리(KM),누적운행거리(KM),정보발생일시,운행속도(KMH),RPM,브레이크신호,시작GPS(X좌표),시작GPS(Y좌표),GPS방위각,가속도 Vx,가속도 Vy,통신상태코드,운행지역코드
운행기록데이터 바디,8,97703,2025020608300900,3,751,0,126889128,37648064,119,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608301000,4,748,0,126889128,37648064,119,1.8,-1.2,0,4128111100
운행기록데이터 바디,8,97703,2025020608301100,6,728,1,126889208,37648088,30,-1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608301200,7,678,1,126889240,37648088,38,0.6,0.0,0,4128111100
운행기록데이터 바디,8,97703,2025020608301300,7,659,0,126889256,37648088,39,0.0,0.0,0,4128111100
운행기록데이터 바디,8,97703,2025020608301400,7,661,1,126889288,37648096,57,0.0,-1.2,0,4128111100
운행기록데이터 바디,8,97703,2025020608301500,6,656,1,126889312,37648096,57,1.8,-1.2,0,4128111100
운행기록데이터 바디,8,97703,2025020608301600,3,655,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608301700,1,651,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608301800,0,651,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608301900,0,647,1,126889320,37648088,57,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608302000,0,651,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608302100,0,650,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608302200,0,649,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608302300,0,650,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608302400,0,650,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608302500,0,651,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608302600,0,650,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608302700,0,648,1,126889320,37648088,57,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608302800,0,649,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608302900,0,650,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608303000,0,649,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608303100,0,647,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608303200,0,652,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608303300,0,650,1,126889320,37648088,57,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608303400,0,650,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608303500,0,651,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608303600,0,650,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608303700,0,649,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608303800,0,650,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608303900,0,649,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608304000,0,650,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608304100,0,650,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608304200,0,649,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608304300,0,649,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608304400,0,650,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608304500,0,650,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608304600,0,650,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608304700,0,649,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608304800,0,649,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608304900,0,650,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608305000,0,650,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608305100,0,650,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608305200,0,649,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608305300,0,649,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608305400,0,649,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608305500,0,649,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608305600,0,650,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608305700,0,648,1,126889320,37648088,57,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608305800,0,649,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608305900,0,651,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608310000,0,651,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608310100,0,647,1,126889320,37648088,57,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608310200,0,889,0,126889320,37648088,57,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608310300,0,904,0,126889320,37648088,57,1.8,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608310400,0,621,0,126889320,37648088,57,1.8,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608310500,0,694,0,126889320,37648088,57,1.2,-1.2,0,4128111100
운행기록데이터 바디,8,97703,2025020608310600,1,673,0,126889320,37648088,57,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608310700,3,620,0,126889320,37648088,57,3.1,1.2,0,4128111100
운행기록데이터 바디,8,97703,2025020608310800,3,846,0,126889320,37648088,57,2.5,-1.2,0,4128111100
운행기록데이터 바디,8,97703,2025020608310900,4,981,0,126889320,37648088,57,1.2,-1.2,0,4128111100
운행기록데이터 바디,8,97703,2025020608311000,6,906,0,126889320,37648088,57,1.2,0.0,0,4128111100
운행기록데이터 바디,8,97703,2025020608311100,8,857,0,126889320,37648088,57,1.2,-1.2,0,4128111100
운행기록데이터 바디,8,97703,2025020608311200,9,811,0,126889440,37648100,60,1.2,0.0,0,4128111100
운행기록데이터 바디,8,97703,2025020608311300,10,828,0,126889464,37648120,64,2.5,-1.2,0,4128111100
운행기록데이터 바디,8,97703,2025020608311400,9,842,0,126889488,37648140,62,1.2,-0.6,0,4128111100
